epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.213470920920372,0.0010000000474974513,2.1392691135406494,0.18463681638240814,2.3666515350341797
1,0.28940263390541077,0.0010000000474974513,1.8092944622039795,0.29768332839012146,1.8139164447784424
2,0.360022634267807,0.0010000000474974513,1.637342929840088,0.39905938506126404,1.5636029243469238
3,0.405651330947876,0.0010000000474974513,1.536228060722351,0.45253440737724304,1.439719319343567
4,0.4289010763168335,0.0010000000474974513,1.4826531410217285,0.3264239728450775,1.7807846069335938
5,0.44653430581092834,0.0010000000474974513,1.4407795667648315,0.48179760575294495,1.3591358661651611
6,0.4627307653427124,0.0010000000474974513,1.4046670198440552,0.4591534435749054,1.3892371654510498
7,0.47213515639305115,0.0010000000474974513,1.3811321258544922,0.42240026593208313,1.4244142770767212
8,0.4821055233478546,0.0010000000474974513,1.356914758682251,0.5255181789398193,1.2551004886627197
9,0.4906391501426697,0.0010000000474974513,1.3386279344558716,0.5026998519897461,1.2741854190826416
10,0.5033960342407227,0.0010000000474974513,1.3162087202072144,0.5056610107421875,1.3018852472305298
11,0.5030912756919861,0.0010000000474974513,1.3090819120407104,0.48893919587135315,1.3302783966064453
12,0.5187652111053467,0.0005000000237487257,1.275255799293518,0.545897901058197,1.1822611093521118
13,0.518547534942627,0.0005000000237487257,1.2606754302978516,0.538233757019043,1.1873137950897217
14,0.5284308791160583,0.0005000000237487257,1.2522679567337036,0.5565232634544373,1.1685693264007568
15,0.5264281034469604,0.0005000000237487257,1.2427109479904175,0.5617488026618958,1.1507766246795654
16,0.5321316719055176,0.0005000000237487257,1.2373509407043457,0.5676711201667786,1.1432119607925415
17,0.5357889533042908,0.0005000000237487257,1.2264455556869507,0.5573942065238953,1.149745225906372
18,0.5384448170661926,0.0005000000237487257,1.2184475660324097,0.565232515335083,1.1611207723617554
19,0.5367903113365173,0.0005000000237487257,1.215254783630371,0.5596585869789124,1.1561943292617798
20,0.5505050420761108,0.0002500000118743628,1.1947647333145142,0.5701097249984741,1.1265597343444824
21,0.5468477606773376,0.0002500000118743628,1.197697401046753,0.5713290572166443,1.1235742568969727
22,0.5502002835273743,0.0002500000118743628,1.1848230361938477,0.5627939105033875,1.1698249578475952
23,0.5495471954345703,0.0002500000118743628,1.186734914779663,0.5781222581863403,1.1125285625457764
24,0.552986741065979,0.0002500000118743628,1.181420922279358,0.5741159915924072,1.1284151077270508
25,0.5545106530189514,0.0002500000118743628,1.1759752035140991,0.5812576413154602,1.1037259101867676
26,0.555512011051178,0.0002500000118743628,1.176834225654602,0.5843929648399353,1.0988702774047852
27,0.5623475909233093,0.0002500000118743628,1.167642593383789,0.5774255394935608,1.127776026725769
28,0.5590822100639343,0.0002500000118743628,1.1585633754730225,0.5870057344436646,1.0907126665115356
29,0.5588209629058838,0.0002500000118743628,1.1589927673339844,0.5728967189788818,1.1428297758102417
